,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Flame Imp,2,1,Minion,Warlock
1,Grim Rally,2,1,Spell,Warlock
2,Soulfire,1,1,Spell,Warlock
3,The Soularium,1,1,Spell,Warlock
4,Voidwalker,2,1,Minion,Warlock
5,Witchwood Imp,1,1,Minion,Warlock
6,Fiendish Circle,2,4,Spell,Warlock
7,Abusive Sergeant,2,1,Minion,Neutral
8,Argent Squire,2,1,Minion,Neutral
9,Crystallizer,2,1,Minion,Neutral
10,Mecharoo,2,1,Minion,Neutral
11,Dire Wolf Alpha,2,2,Minion,Neutral
12,Knife Juggler,2,2,Minion,Neutral
13,Scarab Egg,2,2,Minion,Neutral
14,Magic Carpet,2,3,Minion,Neutral
15,Leeroy Jenkins,1,5,Minion,Neutral
16,Sea Giant,2,10,Minion,Neutral
