,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Flame Imp,2,1,Minion,Warlock
1,Grim Rally,2,1,Spell,Warlock
2,The Soularium,1,1,Spell,Warlock
3,Voidwalker,2,1,Minion,Warlock
4,Fiendish Circle,2,4,Spell,Warlock
5,Omega Agent,2,5,Minion,Warlock
6,Abusive Sergeant,2,1,Minion,Neutral
7,Mecharoo,2,1,Minion,Neutral
8,Dire Wolf Alpha,2,2,Minion,Neutral
9,Knife Juggler,2,2,Minion,Neutral
10,Scarab Egg,2,2,Minion,Neutral
11,Magic Carpet,2,3,Minion,Neutral
12,SN1P-SN4P,1,3,Minion,Neutral
13,Explodinator,2,4,Minion,Neutral
14,Barista Lynchen,1,5,Minion,Neutral
15,Wargear,2,5,Minion,Neutral
16,Zilliax,1,5,Minion,Neutral
