,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Mortal Coil,1,1,Spell,Warlock
1,Plot Twist,2,2,Spell,Warlock
2,Hellfire,2,4,Spell,Warlock
3,Shadowflame,2,4,Spell,Warlock
4,Aranasi Broodmother,2,6,Minion,Warlock
5,Siphon Soul,2,6,Spell,Warlock
6,Arch-Villain Rafaam,1,7,Minion,Warlock
7,Twisting Nether,1,8,Spell,Warlock
8,Acidic Swamp Ooze,1,2,Minion,Neutral
9,Ancient Watcher,2,2,Minion,Neutral
10,Doomsayer,2,2,Minion,Neutral
11,Sunfury Protector,2,2,Minion,Neutral
12,Faceless Rager,2,3,Minion,Neutral
13,Proud Defender,2,4,Minion,Neutral
14,Spellbreaker,2,4,Minion,Neutral
15,Twilight Drake,2,4,Minion,Neutral
16,Mountain Giant,2,12,Minion,Neutral
