,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Mortal Coil,2,1,Spell,Warlock
1,The Soularium,1,1,Spell,Warlock
2,Plot Twist,2,2,Spell,Warlock
3,Sense Demons,1,3,Spell,Warlock
4,Shadow Bolt,1,3,Spell,Warlock
5,Hellfire,2,4,Spell,Warlock
6,Aranasi Broodmother,2,6,Minion,Warlock
7,Siphon Soul,2,6,Spell,Warlock
8,Arch-Villain Rafaam,1,7,Minion,Warlock
9,Lord Godfrey,1,7,Minion,Warlock
10,Fel Lord Betrug,1,8,Minion,Warlock
11,Twisting Nether,2,8,Spell,Warlock
12,Acidic Swamp Ooze,2,2,Minion,Neutral
13,Doomsayer,2,2,Minion,Neutral
14,Voodoo Doll,2,3,Minion,Neutral
15,Rotten Applebaum,2,5,Minion,Neutral
16,Zilliax,1,5,Minion,Neutral
17,Safeguard,1,6,Minion,Neutral
18,Deranged Doctor,1,8,Minion,Neutral
19,"Hakkar, the Soulflayer",1,10,Minion,Neutral
