,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Flame Imp,2,1,Minion,Warlock
1,Grim Rally,2,1,Spell,Warlock
2,Soul Infusion,2,1,Spell,Warlock
3,Soulfire,2,1,Spell,Warlock
4,Voidwalker,2,1,Minion,Warlock
5,Witchwood Imp,2,1,Minion,Warlock
6,Fiendish Circle,2,4,Spell,Warlock
7,Doubling Imp,2,3,Minion,Warlock
8,Abusive Sergeant,2,1,Minion,Neutral
9,Argent Squire,2,1,Minion,Neutral
10,Mecharoo,2,1,Minion,Neutral
11,Saronite Taskmaster,2,1,Minion,Neutral
12,Dire Wolf Alpha,2,2,Minion,Neutral
13,Knife Juggler,2,2,Minion,Neutral
14,Scarab Egg,2,2,Minion,Neutral
