,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Mortal Coil,2,1,Spell,Warlock
1,Curse of Weakness,2,2,Spell,Warlock
2,Sense Demons,1,3,Spell,Warlock
3,Shadow Bolt,2,3,Spell,Warlock
4,Hellfire,1,4,Spell,Warlock
5,Shadowflame,2,4,Spell,Warlock
6,Omega Agent,2,5,Minion,Warlock
7,Aranasi Broodmother,2,6,Minion,Warlock
8,Siphon Soul,2,6,Spell,Warlock
9,Lord Godfrey,1,7,Minion,Warlock
10,Twisting Nether,2,8,Spell,Warlock
11,Lord Jaraxxus,1,9,Minion,Warlock
12,Doomsayer,2,2,Minion,Neutral
13,Twilight Drake,2,4,Minion,Neutral
14,Barista Lynchen,1,5,Minion,Neutral
15,Big Game Hunter,1,5,Minion,Neutral
16,Mossy Horror,2,6,Minion,Neutral
17,Mountain Giant,2,12,Minion,Neutral
