,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Hellfire,2,4,Spell,Warlock
1,Shadowflame,1,4,Spell,Warlock
2,Omega Agent,2,5,Minion,Warlock
3,Aranasi Broodmother,2,6,Minion,Warlock
4,Siphon Soul,1,6,Spell,Warlock
5,Lord Godfrey,1,7,Minion,Warlock
6,Lord Jaraxxus,1,9,Minion,Warlock
7,Acidic Swamp Ooze,2,2,Minion,Neutral
8,Doomsayer,2,2,Minion,Neutral
9,Sunfury Protector,2,2,Minion,Neutral
10,Earthen Ring Farseer,2,3,Minion,Neutral
11,Faceless Rager,2,3,Minion,Neutral
12,Defender of Argus,2,4,Minion,Neutral
13,Twilight Drake,2,4,Minion,Neutral
14,Rotten Applebaum,2,5,Minion,Neutral
15,Zilliax,1,5,Minion,Neutral
16,Mossy Horror,1,6,Minion,Neutral
17,Mountain Giant,2,12,Minion,Neutral
